filename,column,dtype,units_stated_in_dataset
CurrentVoltage.csv,VL1,float64,no
CurrentVoltage.csv,VL2,float64,no
CurrentVoltage.csv,VL3,float64,no
CurrentVoltage.csv,IL1,float64,no
CurrentVoltage.csv,IL2,float64,no
CurrentVoltage.csv,IL3,float64,no
CurrentVoltage.csv,VL12,float64,no
CurrentVoltage.csv,VL23,float64,no
CurrentVoltage.csv,VL31,float64,no
CurrentVoltage.csv,INUT,float64,no
Overview.csv,OTI,float64,no
Overview.csv,WTI,float64,no
Overview.csv,ATI,float64,no
Overview.csv,OLI,float64,no
Overview.csv,OTI_A,float64,no
Overview.csv,OTI_T,float64,no
Overview.csv,MOG_A,float64,no
Power.csv,WL1,float64,no
Power.csv,WL2,float64,no
Power.csv,WL3,float64,no
Power.csv,VAL1,float64,no
Power.csv,VAL2,float64,no
Power.csv,VAL3,float64,no
Power.csv,RVAL1,float64,no
Power.csv,RVAL2,float64,no
Power.csv,RVAL3,float64,no
PowerFactor.csv,PFL1,float64,no
PowerFactor.csv,PFL2,float64,no
PowerFactor.csv,PFL3,float64,no
PowerFactor.csv,Avg_PF,float64,no
PowerFactor.csv,Sum_PF,float64,no
PowerFactor.csv,FRQ,float64,no
PowerFactor.csv,THDVL1,float64,no
PowerFactor.csv,THDVL2,float64,no
PowerFactor.csv,THDVL3,float64,no
PowerFactor.csv,THDIL1,float64,no
PowerFactor.csv,THDIL2,float64,no
PowerFactor.csv,THDIL3,float64,no
PowerFactor.csv,MDIL1,float64,no
PowerFactor.csv,MDIL2,float64,no
PowerFactor.csv,MDIL3,float64,no
TotalPower.csv,KWH,float64,no
TotalPower.csv,KWH_I,float64,no
TotalPower.csv,KVARH,float64,no
TotalPower.csv,KW,float64,no
TotalPower.csv,KVA,float64,no
TotalPower.csv,KVAR,float64,no
TotalPower.csv,MPD,float64,no
TotalPower.csv,MKVAD,float64,no
