flag,continuity_gap_minutes,merge_tolerance_minutes,n_primitive_events,n_events_after_merge,total_active_samples,median_event_duration_minutes,max_event_duration_minutes
OTI_A,15.0,0.0,13,13,100,36.0,223.0
OTI_A,15.0,15.0,13,13,100,36.0,223.0
OTI_A,15.0,30.0,13,12,100,37.5,288.0
OTI_A,15.0,60.0,13,12,100,37.5,288.0
OTI_A,15.0,360.0,13,10,100,30.5,316.0
OTI_A,30.0,0.0,12,12,100,37.5,288.0
OTI_A,30.0,15.0,12,12,100,37.5,288.0
OTI_A,30.0,30.0,12,12,100,37.5,288.0
OTI_A,30.0,60.0,12,12,100,37.5,288.0
OTI_A,30.0,360.0,12,10,100,30.5,316.0
OTI_T,15.0,0.0,10,10,47,37.5,136.0
OTI_T,15.0,15.0,10,10,47,37.5,136.0
OTI_T,15.0,30.0,10,10,47,37.5,136.0
OTI_T,15.0,60.0,10,10,47,37.5,136.0
OTI_T,15.0,360.0,10,8,47,30.5,316.0
OTI_T,30.0,0.0,10,10,47,37.5,136.0
OTI_T,30.0,15.0,10,10,47,37.5,136.0
OTI_T,30.0,30.0,10,10,47,37.5,136.0
OTI_T,30.0,60.0,10,10,47,37.5,136.0
OTI_T,30.0,360.0,10,8,47,30.5,316.0
MOG_A,15.0,0.0,68,68,2087,168.5,4212.0
MOG_A,15.0,15.0,68,68,2087,168.5,4212.0
MOG_A,15.0,30.0,68,24,2087,565.0,8856.0
MOG_A,15.0,60.0,68,14,2087,1008.0,8856.0
MOG_A,15.0,360.0,68,8,2087,2140.0,12043.0
MOG_A,30.0,0.0,24,24,2087,565.0,8856.0
MOG_A,30.0,15.0,24,24,2087,565.0,8856.0
MOG_A,30.0,30.0,24,24,2087,565.0,8856.0
MOG_A,30.0,60.0,24,14,2087,1008.0,8856.0
MOG_A,30.0,360.0,24,8,2087,2140.0,12043.0
WTI,15.0,0.0,378,378,5388,46.0,4500.0
WTI,15.0,15.0,378,368,5388,50.5,4500.0
WTI,15.0,30.0,378,95,5388,135.0,5787.0
WTI,15.0,60.0,378,36,5388,1020.0,13957.0
WTI,15.0,360.0,378,14,5388,997.5,30690.0
WTI,30.0,0.0,307,307,5388,45.0,5787.0
WTI,30.0,15.0,307,297,5388,45.0,5787.0
WTI,30.0,30.0,307,95,5388,135.0,5787.0
WTI,30.0,60.0,307,36,5388,1020.0,13957.0
WTI,30.0,360.0,307,14,5388,997.5,30690.0
