excursion_onset,window_minutes,n_cv_rows_in_window,nearest_cv_delta_minutes,n_tp_rows_in_window,nearest_tp_delta_minutes,VL1_min,VL1_max,VL12_min,VL12_max,IL1_min,IL1_max,IL2_max,IL3_max,KW_min,KW_max,KVA_min,KVA_max
2019-07-16 13:38:00,30,4,7.0,4,7.0,224.9,226.0,388.0,390.7,119.9,127.3,180.7,140.9,87.376,96.882,88.389,97.921
2019-08-09 14:20:00,30,4,5.0,4,5.0,220.3,222.2,383.2,385.0,109.0,131.8,138.7,138.2,80.261,85.728,80.962,86.632
2019-08-16 09:39:00,30,4,6.0,4,6.0,225.5,226.9,388.1,391.3,51.4,62.1,63.3,99.6,33.432,49.26,34.731,49.958
2019-08-16 12:39:00,30,4,6.0,4,6.0,223.0,224.1,384.4,386.0,105.9,116.0,124.3,155.2,81.602,84.835,82.284,85.792
2019-08-17 10:29:00,30,4,1.0,4,1.0,230.5,233.1,398.6,403.4,56.2,78.5,74.8,150.9,43.733,64.453,44.41,65.546
2019-08-17 13:03:00,30,4,3.0,4,3.0,227.8,229.0,393.1,393.5,125.7,148.0,153.6,174.3,94.328,100.853,95.998,102.76
2019-08-18 13:08:00,30,4,7.0,4,7.0,231.8,234.2,399.9,404.7,83.6,103.5,85.3,83.1,52.873,60.113,53.407,60.729
2019-08-19 15:21:00,30,4,6.0,4,6.0,226.4,227.2,390.9,391.8,119.1,140.6,147.8,140.5,79.781,91.457,80.36,92.315
2019-08-22 13:48:00,30,2,12.0,2,12.0,223.5,225.2,382.9,386.5,117.7,128.2,129.7,168.7,90.144,90.202,91.011,91.057
2019-09-03 14:42:00,30,5,3.0,5,3.0,219.8,222.0,379.3,383.8,136.1,153.5,170.5,161.5,92.043,102.969,93.024,103.932
