policy,filter_type,threshold,gap_policy,seed,events_detected_of_10,detection_rate,events_detected_in_zone_of_10,mean_lead_time_min,median_lead_time_min,false_alarm_episodes,false_alarm_rate_per_day,total_flagged_rows,data_anomaly_rows,normal_days
P1_preserve,F1_rate,rate>0.5,reset,,10,1.0,10,0.3,0.0,98,0.3349,138,940,292.625
P1_preserve,F1_rate,rate>1,reset,,10,1.0,10,0.0,0.0,27,0.092268,51,940,292.625
P1_preserve,F1_rate,rate>2,reset,,10,1.0,10,0.0,0.0,14,0.047843,35,940,292.625
P1_preserve,F1_rate,rate>3,reset,,10,1.0,10,0.0,0.0,6,0.020504,27,940,292.625
P1_preserve,F1_rate,rate>5,reset,,10,1.0,10,0.0,0.0,4,0.013669,23,940,292.625
P1_preserve,F1_rate,rate>10,reset,,10,1.0,10,0.0,0.0,3,0.010252,21,940,292.625
P1_preserve,F1_rate,rate>15,reset,,8,0.8,8,0.0,0.0,3,0.010252,13,940,292.625
P1_preserve,F1_rate,rate>20,reset,,8,0.8,8,0.0,0.0,3,0.010252,13,940,292.625
P1_preserve,F2_range,OTI>45,reset,,10,1.0,10,15.4,3.0,67,0.228962,404,940,292.625
P1_preserve,F2_range,OTI>48,reset,,10,1.0,10,9.5,0.0,41,0.140111,189,940,292.625
P1_preserve,F2_range,OTI>50,reset,,10,1.0,10,6.4,0.0,16,0.054677,89,940,292.625
P1_preserve,F2_range,OTI>52,reset,,10,1.0,10,1.2,0.0,3,0.010252,55,940,292.625
P1_preserve,F2_range,OTI>54,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>60,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>70,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>80,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>90,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>100,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>150,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>200,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>236,reset,,9,0.9,10,0.0,0.0,0,0.0,46,940,292.625
P1_preserve,F4_jump,|dOTI|>5,reset,,10,1.0,10,0.0,0.0,33,0.112772,56,940,292.625
P1_preserve,F4_jump,|dOTI|>10,reset,,10,1.0,10,0.0,0.0,10,0.034173,32,940,292.625
P1_preserve,F4_jump,|dOTI|>20,reset,,10,1.0,10,0.0,0.0,9,0.030756,30,940,292.625
P1_preserve,F4_jump,|dOTI|>30,reset,,10,1.0,10,0.0,0.0,3,0.010252,23,940,292.625
P1_preserve,F4_jump,|dOTI|>50,reset,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625
P1_preserve,F4_jump,|dOTI|>100,reset,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625
P1_preserve,F4_jump,|dOTI|>150,reset,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>45,reset,,10,1.0,10,15.4,3.0,162,0.55361,522,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>48,reset,,10,1.0,10,9.5,0.0,137,0.468176,312,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>50,reset,,10,1.0,10,6.7,0.0,114,0.389577,215,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>52,reset,,10,1.0,10,1.5,0.0,101,0.345152,182,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>54,reset,,10,1.0,10,0.3,0.0,98,0.3349,174,940,292.625
