flag,timestamp,transition,interval_before_minutes,interval_after_minutes
OTI_A,2019-07-03 12:52:00,0->1,2.0,3.0
OTI_A,2019-07-04 11:50:00,1->0,4.0,5.0
OTI_A,2019-07-16 13:38:00,0->1,8.0,7.0
OTI_A,2019-07-16 14:15:00,1->0,15.0,15.0
OTI_A,2019-08-09 14:20:00,0->1,3.0,10.0
OTI_A,2019-08-09 14:45:00,1->0,15.0,15.0
OTI_A,2019-08-16 09:39:00,0->1,9.0,6.0
OTI_A,2019-08-16 10:30:00,1->0,15.0,15.0
OTI_A,2019-08-16 12:39:00,0->1,9.0,6.0
OTI_A,2019-08-16 15:00:00,1->0,5.0,15.0
OTI_A,2019-08-17 10:29:00,0->1,14.0,1.0
OTI_A,2019-08-17 12:21:00,1->0,36.0,9.0
OTI_A,2019-08-17 13:03:00,0->1,3.0,12.0
OTI_A,2019-08-17 14:15:00,1->0,15.0,15.0
OTI_A,2019-08-18 13:08:00,0->1,8.0,7.0
OTI_A,2019-08-18 13:45:00,1->0,15.0,15.0
OTI_A,2019-08-19 15:21:00,0->1,6.0,9.0
OTI_A,2019-08-19 16:15:00,1->0,15.0,15.0
OTI_A,2019-08-22 13:48:00,0->1,18.0,5.0
OTI_A,2019-08-22 15:15:00,1->0,45.0,15.0
OTI_A,2019-09-03 14:42:00,0->1,2.0,3.0
OTI_A,2019-09-03 15:08:00,1->0,8.0,7.0
OTI_T,2019-07-16 13:38:00,0->1,8.0,7.0
OTI_T,2019-07-16 14:15:00,1->0,15.0,15.0
OTI_T,2019-08-09 14:20:00,0->1,3.0,10.0
OTI_T,2019-08-09 14:45:00,1->0,15.0,15.0
OTI_T,2019-08-16 09:39:00,0->1,9.0,6.0
OTI_T,2019-08-16 10:30:00,1->0,15.0,15.0
OTI_T,2019-08-16 12:39:00,0->1,9.0,6.0
OTI_T,2019-08-16 15:00:00,1->0,5.0,15.0
OTI_T,2019-08-17 10:29:00,0->1,14.0,1.0
OTI_T,2019-08-17 12:21:00,1->0,36.0,9.0
OTI_T,2019-08-17 13:03:00,0->1,3.0,12.0
OTI_T,2019-08-17 14:15:00,1->0,15.0,15.0
OTI_T,2019-08-18 13:08:00,0->1,8.0,7.0
OTI_T,2019-08-18 13:45:00,1->0,15.0,15.0
OTI_T,2019-08-19 15:21:00,0->1,6.0,9.0
OTI_T,2019-08-19 16:15:00,1->0,15.0,15.0
OTI_T,2019-08-22 13:48:00,0->1,18.0,5.0
OTI_T,2019-08-22 15:15:00,1->0,45.0,15.0
OTI_T,2019-09-03 14:42:00,0->1,2.0,3.0
OTI_T,2019-09-03 15:08:00,1->0,8.0,7.0
MOG_A,2019-07-02 17:22:00,0->1,7.0,6.0
MOG_A,2019-07-02 17:28:00,1->0,6.0,8.0
MOG_A,2019-07-05 11:40:00,0->1,10.0,1.0
MOG_A,2019-07-05 11:41:00,1->0,1.0,2.0
MOG_A,2019-07-05 17:16:00,0->1,1.0,1.0
MOG_A,2019-07-05 17:17:00,1->0,1.0,13.0
MOG_A,2019-07-10 00:05:00,0->1,3.0,5026.0
MOG_A,2019-07-13 12:05:00,1->0,14.0,10.0
MOG_A,2019-07-13 12:28:00,0->1,13.0,2.0
MOG_A,2019-08-10 13:58:00,1->0,13.0,2.0
WTI,2020-01-17 21:30:00,0->1,15.0,15.0
WTI,2020-01-17 22:00:00,1->0,15.0,15.0
WTI,2020-01-17 22:15:00,0->1,15.0,15.0
WTI,2020-01-17 22:45:00,1->0,15.0,15.0
WTI,2020-01-17 23:15:00,0->1,15.0,15.0
WTI,2020-01-18 00:00:00,1->0,15.0,15.0
WTI,2020-01-18 02:30:00,0->1,15.0,15.0
WTI,2020-01-18 02:45:00,1->0,15.0,15.0
WTI,2020-01-18 03:00:00,0->1,15.0,15.0
WTI,2020-01-18 03:15:00,1->0,15.0,15.0
WTI,2020-01-18 03:30:00,0->1,15.0,15.0
WTI,2020-01-18 04:00:00,1->0,15.0,15.0
WTI,2020-01-18 04:15:00,0->1,15.0,15.0
WTI,2020-01-18 04:30:00,1->0,15.0,15.0
WTI,2020-01-18 04:45:00,0->1,15.0,15.0
WTI,2020-01-18 05:15:00,1->0,15.0,15.0
WTI,2020-01-18 05:30:00,0->1,15.0,15.0
WTI,2020-01-18 05:45:00,1->0,15.0,15.0
WTI,2020-01-18 06:00:00,0->1,15.0,15.0
WTI,2020-01-18 06:15:00,1->0,15.0,15.0
WTI,2020-01-18 06:30:00,0->1,15.0,15.0
WTI,2020-01-18 07:30:00,1->0,15.0,15.0
WTI,2020-01-18 07:45:00,0->1,15.0,15.0
WTI,2020-01-18 08:00:00,1->0,15.0,15.0
WTI,2020-01-18 21:15:00,0->1,15.0,15.0
WTI,2020-01-18 21:30:00,1->0,15.0,15.0
WTI,2020-01-18 22:30:00,0->1,15.0,15.0
WTI,2020-01-18 22:45:00,1->0,15.0,15.0
WTI,2020-01-18 23:15:00,0->1,15.0,15.0
WTI,2020-01-19 00:24:00,1->0,24.0,6.0
WTI,2020-01-19 01:15:00,0->1,15.0,15.0
WTI,2020-01-19 01:30:00,1->0,15.0,15.0
WTI,2020-01-19 03:15:00,0->1,15.0,15.0
WTI,2020-01-19 04:15:00,1->0,15.0,15.0
WTI,2020-01-19 04:30:00,0->1,15.0,15.0
WTI,2020-01-19 04:45:00,1->0,15.0,15.0
WTI,2020-01-19 05:45:00,0->1,15.0,15.0
WTI,2020-01-19 06:00:00,1->0,15.0,15.0
WTI,2020-01-19 06:15:00,0->1,15.0,15.0
WTI,2020-01-19 08:00:00,1->0,15.0,15.0
WTI,2020-01-19 08:30:00,0->1,15.0,15.0
WTI,2020-01-19 08:45:00,1->0,15.0,15.0
WTI,2020-01-19 18:00:00,0->1,15.0,15.0
WTI,2020-01-19 18:45:00,1->0,15.0,15.0
WTI,2020-01-19 19:00:00,0->1,15.0,15.0
WTI,2020-01-19 19:30:00,1->0,15.0,15.0
WTI,2020-01-19 19:45:00,0->1,15.0,15.0
WTI,2020-01-19 20:00:00,1->0,15.0,15.0
WTI,2020-01-19 20:30:00,0->1,15.0,15.0
WTI,2020-01-19 21:00:00,1->0,15.0,15.0
WTI,2020-01-19 21:15:00,0->1,15.0,15.0
WTI,2020-01-19 21:30:00,1->0,15.0,15.0
WTI,2020-01-19 21:45:00,0->1,15.0,15.0
WTI,2020-01-19 22:45:00,1->0,15.0,15.0
WTI,2020-01-19 23:00:00,0->1,15.0,15.0
WTI,2020-01-20 00:15:00,1->0,15.0,15.0
WTI,2020-01-20 00:30:00,0->1,15.0,15.0
WTI,2020-01-20 02:45:00,1->0,15.0,15.0
WTI,2020-01-20 03:00:00,0->1,15.0,15.0
WTI,2020-01-20 04:15:00,1->0,15.0,15.0
WTI,2020-01-20 04:30:00,0->1,15.0,15.0
WTI,2020-01-20 05:00:00,1->0,15.0,15.0
