timestamp,prev_timestamp,dt_minutes,prev_value,value,rate_per_min,raw_line,prev_raw_line
2019-09-03 14:42:00,2019-09-03 14:40:00,2.0,54.0,236.0,91.0,6007,6006
2019-08-17 13:03:00,2019-08-17 13:00:00,3.0,43.0,243.0,66.66666666666667,4697,4695
2019-08-09 14:20:00,2019-08-09 14:17:00,3.0,50.0,246.0,65.33333333333333,3898,3897
2019-08-16 15:00:00,2019-08-16 14:55:00,5.0,243.0,39.0,-40.8,4604,4603
2019-08-19 15:21:00,2019-08-19 15:15:00,6.0,47.0,247.0,33.333333333333336,4907,4906
2019-06-29 12:53:00,2019-06-29 12:52:00,1.0,0.0,33.0,33.0,1003,1001
2019-07-08 13:26:00,2019-07-08 13:25:00,1.0,0.0,30.0,30.0,1802,1800
2019-08-18 13:08:00,2019-08-18 13:00:00,8.0,43.0,246.0,25.375,4796,4795
2019-07-16 13:38:00,2019-07-16 13:30:00,8.0,47.0,245.0,24.75,2169,2168
2019-09-03 15:08:00,2019-09-03 15:00:00,8.0,248.0,52.0,-24.5,6010,6009
2019-08-16 12:39:00,2019-08-16 12:30:00,9.0,38.0,244.0,22.88888888888889,4593,4592
2019-08-16 09:39:00,2019-08-16 09:30:00,9.0,36.0,238.0,22.444444444444443,4578,4577
2019-06-27 15:42:00,2019-06-27 15:41:00,1.0,35.0,13.0,-22.0,354,352
2019-08-17 10:29:00,2019-08-17 10:15:00,14.0,36.0,239.0,14.5,4684,4683
2019-08-16 10:30:00,2019-08-16 10:15:00,15.0,243.0,36.0,-13.8,4582,4581
2019-08-17 14:15:00,2019-08-17 14:00:00,15.0,244.0,41.0,-13.533333333333333,4702,4701
2019-08-19 16:15:00,2019-08-19 16:00:00,15.0,244.0,43.0,-13.4,4911,4910
2019-08-18 13:45:00,2019-08-18 13:30:00,15.0,242.0,41.0,-13.4,4799,4798
2019-08-09 14:45:00,2019-08-09 14:30:00,15.0,246.0,48.0,-13.2,3900,3899
2019-07-16 14:15:00,2019-07-16 14:00:00,15.0,246.0,49.0,-13.133333333333333,2172,2171
2019-08-22 13:48:00,2019-08-22 13:30:00,18.0,50.0,250.0,11.11111111111111,5184,5183
2019-06-27 11:38:00,2019-06-27 11:34:00,4.0,0.0,34.0,8.5,40,38
2019-08-17 12:21:00,2019-08-17 11:45:00,36.0,242.0,38.0,-5.666666666666667,4691,4690
2019-08-22 15:15:00,2019-08-22 14:30:00,45.0,247.0,49.0,-4.4,5189,5188
2019-09-03 14:45:00,2019-09-03 14:42:00,3.0,236.0,248.0,4.0,6008,6007
2019-07-02 17:36:00,2019-07-02 17:28:00,8.0,0.0,29.0,3.625,1432,1431
2019-07-08 13:23:00,2019-07-08 13:14:00,9.0,30.0,0.0,-3.3333333333333335,1798,1797
2019-07-13 19:38:00,2019-07-13 19:37:00,1.0,23.0,26.0,3.0,1904,1903
2019-07-13 16:45:00,2019-07-13 16:44:00,1.0,22.0,25.0,3.0,1876,1875
2019-06-29 12:52:00,2019-06-29 12:41:00,11.0,33.0,0.0,-3.0,1001,1000
2020-04-12 20:30:00,2020-04-12 20:29:00,1.0,26.0,29.0,3.0,20194,20193
2019-07-15 22:45:00,2019-07-15 22:44:00,1.0,28.0,25.0,-3.0,2099,2098
2019-07-15 21:30:00,2019-07-15 21:29:00,1.0,28.0,25.0,-3.0,2087,2086
2019-07-16 04:13:00,2019-07-16 04:12:00,1.0,28.0,25.0,-3.0,2127,2126
2019-07-24 23:01:00,2019-07-24 23:00:00,1.0,32.0,29.0,-3.0,2963,2962
2019-10-11 02:39:00,2019-10-11 02:38:00,1.0,23.0,25.0,2.0,8950,8949
2019-10-11 02:46:00,2019-10-11 02:45:00,1.0,25.0,23.0,-2.0,8952,8951
2019-10-14 00:45:00,2019-10-14 00:44:00,1.0,24.0,26.0,2.0,9253,9252
2019-10-12 02:35:00,2019-10-12 02:34:00,1.0,26.0,28.0,2.0,9051,9050
2019-07-25 00:46:00,2019-07-25 00:45:00,1.0,31.0,29.0,-2.0,2971,2970
