rise_timestamp,dt_minutes,dT_units,local_max_kw_30min,direction,T0,T1,Ta_used_ATI
2019-07-16 13:38:00,8.0,198.0,96.882,rising,,,
2019-08-09 14:20:00,3.0,196.0,85.728,rising,,,
2019-08-16 09:39:00,9.0,202.0,49.26,rising,,,
2019-08-16 12:39:00,9.0,206.0,84.835,rising,,,
2019-08-17 10:29:00,14.0,203.0,64.453,rising,,,
2019-08-17 13:03:00,3.0,200.0,100.853,rising,,,
2019-08-18 13:08:00,8.0,203.0,60.113,rising,,,
2019-08-19 15:21:00,6.0,200.0,91.457,rising,,,
2019-08-22 13:48:00,18.0,200.0,90.202,rising,,,
2019-09-03 14:42:00,2.0,182.0,102.969,rising,,,
2019-07-16 14:15:00,15.0,,,falling,246.0,49.0,36.0
2019-08-09 14:45:00,15.0,,,falling,246.0,48.0,39.0
2019-08-16 10:30:00,15.0,,,falling,243.0,36.0,31.0
2019-08-16 15:00:00,5.0,,,falling,243.0,39.0,32.0
2019-08-17 12:21:00,36.0,,,falling,242.0,38.0,33.0
2019-08-17 14:15:00,15.0,,,falling,244.0,41.0,33.0
2019-08-18 13:45:00,15.0,,,falling,242.0,41.0,33.0
2019-08-19 16:15:00,15.0,,,falling,244.0,43.0,34.0
2019-08-22 15:15:00,45.0,,,falling,247.0,49.0,38.0
2019-09-03 15:08:00,8.0,,,falling,248.0,52.0,39.0
