policy,filter_type,threshold,gap_policy,seed,events_detected_of_10,detection_rate,events_detected_in_zone_of_10,mean_lead_time_min,median_lead_time_min,false_alarm_episodes,false_alarm_rate_per_day,total_flagged_rows,data_anomaly_rows,normal_days,is_baseline
P1_preserve,F2_range,OTI>54,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>60,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>70,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>80,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>90,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>100,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>150,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>200,reset,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F4_jump,|dOTI|>50,reset,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625,False
P1_preserve,F4_jump,|dOTI|>100,reset,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625,False
P1_preserve,F4_jump,|dOTI|>150,reset,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625,False
P1_preserve,F2_range,OTI>54,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>60,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>70,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>80,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>90,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>100,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>150,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F2_range,OTI>200,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625,False
P1_preserve,F4_jump,|dOTI|>50,continue,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625,False
P1_preserve,F4_jump,|dOTI|>100,continue,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625,False
P1_preserve,F4_jump,|dOTI|>150,continue,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625,False
P2_first,F2_range,OTI>54,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>60,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>70,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>80,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>90,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>100,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>150,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>200,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F4_jump,|dOTI|>50,reset,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P2_first,F4_jump,|dOTI|>100,reset,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P2_first,F4_jump,|dOTI|>150,reset,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P2_first,F2_range,OTI>54,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>60,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>70,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>80,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>90,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>100,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>150,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F2_range,OTI>200,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P2_first,F4_jump,|dOTI|>50,continue,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P2_first,F4_jump,|dOTI|>100,continue,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P2_first,F4_jump,|dOTI|>150,continue,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P3_last,F2_range,OTI>54,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>60,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>70,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>80,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>90,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>100,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>150,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>200,reset,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F4_jump,|dOTI|>50,reset,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P3_last,F4_jump,|dOTI|>100,reset,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P3_last,F4_jump,|dOTI|>150,reset,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P3_last,F2_range,OTI>54,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>60,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>70,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>80,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>90,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>100,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>150,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F2_range,OTI>200,continue,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,False
P3_last,F4_jump,|dOTI|>50,continue,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P3_last,F4_jump,|dOTI|>100,continue,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P3_last,F4_jump,|dOTI|>150,continue,,10,1.0,10,0.0,0.0,0,0.0,20,0,292.625,False
P4_identical,F2_range,OTI>54,reset,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>60,reset,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>70,reset,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>80,reset,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>90,reset,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>100,reset,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>150,reset,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>200,reset,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F4_jump,|dOTI|>50,reset,,10,1.0,10,0.0,0.0,0,0.0,20,366,292.625,False
P4_identical,F4_jump,|dOTI|>100,reset,,10,1.0,10,0.0,0.0,0,0.0,20,366,292.625,False
P4_identical,F4_jump,|dOTI|>150,reset,,10,1.0,10,0.0,0.0,0,0.0,20,366,292.625,False
P4_identical,F2_range,OTI>54,continue,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>60,continue,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>70,continue,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>80,continue,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>90,continue,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>100,continue,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>150,continue,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F2_range,OTI>200,continue,,10,1.0,10,0.0,0.0,0,0.0,47,366,292.625,False
P4_identical,F4_jump,|dOTI|>50,continue,,10,1.0,10,0.0,0.0,0,0.0,20,366,292.625,False
P4_identical,F4_jump,|dOTI|>100,continue,,10,1.0,10,0.0,0.0,0,0.0,20,366,292.625,False
P4_identical,F4_jump,|dOTI|>150,continue,,10,1.0,10,0.0,0.0,0,0.0,20,366,292.625,False
P1_preserve,B1_trivial,OTI>=236,not_applicable,,10,1.0,10,0.0,0.0,0,0.0,47,0,292.625,True
