policy,filter,gap_policy,event_id,crossing_ts_min,window_hit,first_alert_ts_min,first_alert_class,detection_delay_min,prewindow_duty_cycle,sustained_k1_ts_min,sustained_k1_class,sustained_k2_ts_min,sustained_k2_class,sustained_k3_ts_min,sustained_k3_class
P2_first,F1_rate,reset,1,26054738.0,False,,none,,0.0,,none,,none,,none
P2_first,F1_rate,reset,2,26089340.0,True,26089340.0,at_crossing,0.0,0.1667,26089340.0,at_crossing,,none,,none
P2_first,F1_rate,reset,3,26099139.0,False,,none,,0.0,,none,,none,,none
P2_first,F1_rate,reset,4,26099319.0,False,26099460.0,after_crossing,141.0,0.0,26099460.0,after_crossing,,none,,none
P2_first,F1_rate,reset,5,26100629.0,False,,none,,0.0,,none,,none,,none
P2_first,F1_rate,reset,6,26100783.0,True,26100783.0,at_crossing,0.0,0.25,26100783.0,at_crossing,,none,,none
P2_first,F1_rate,reset,7,26102228.0,True,26102228.0,at_crossing,0.0,0.2,26102228.0,at_crossing,,none,,none
P2_first,F1_rate,reset,8,26103801.0,True,26103801.0,at_crossing,0.0,0.2,26103801.0,at_crossing,,none,,none
P2_first,F1_rate,reset,9,26108028.0,False,,none,,0.0,,none,,none,,none
P2_first,F1_rate,reset,10,26125362.0,True,26125362.0,at_crossing,0.0,0.1429,26125362.0,at_crossing,,none,,none
P2_first,F2_range,stateless,1,26054738.0,True,26054738.0,at_crossing,0.0,1.0,26054738.0,at_crossing,26054745.0,after_crossing,26054760.0,after_crossing
P2_first,F2_range,stateless,2,26089340.0,True,26089320.0,before_crossing,-20.0,0.6667,26089320.0,before_crossing,26089335.0,before_crossing,26089337.0,before_crossing
P2_first,F2_range,stateless,3,26099139.0,True,26099139.0,at_crossing,0.0,0.1429,26099139.0,at_crossing,26099145.0,after_crossing,26099160.0,after_crossing
P2_first,F2_range,stateless,4,26099319.0,True,26099319.0,at_crossing,0.0,0.1429,26099319.0,at_crossing,26099325.0,after_crossing,26099340.0,after_crossing
P2_first,F2_range,stateless,5,26100629.0,True,26100629.0,at_crossing,0.0,0.1667,26100629.0,at_crossing,26100630.0,after_crossing,26100645.0,after_crossing
P2_first,F2_range,stateless,6,26100783.0,True,26100783.0,at_crossing,0.0,0.25,26100783.0,at_crossing,26100795.0,after_crossing,26100810.0,after_crossing
P2_first,F2_range,stateless,7,26102228.0,True,26102228.0,at_crossing,0.0,0.2,26102228.0,at_crossing,26102235.0,after_crossing,26102250.0,after_crossing
P2_first,F2_range,stateless,8,26103801.0,True,26103801.0,at_crossing,0.0,0.2,26103801.0,at_crossing,26103810.0,after_crossing,26103825.0,after_crossing
P2_first,F2_range,stateless,9,26108028.0,True,26107980.0,before_crossing,-48.0,1.0,26107980.0,before_crossing,26107981.0,before_crossing,26107985.0,before_crossing
P2_first,F2_range,stateless,10,26125362.0,True,26125320.0,before_crossing,-42.0,0.8571,26125320.0,before_crossing,26125335.0,before_crossing,26125350.0,before_crossing
P2_first,F3_combined,reset,1,26054738.0,True,26054738.0,at_crossing,0.0,1.0,26054738.0,at_crossing,26054745.0,after_crossing,26054760.0,after_crossing
P2_first,F3_combined,reset,2,26089340.0,True,26089320.0,before_crossing,-20.0,0.6667,26089320.0,before_crossing,26089335.0,before_crossing,26089337.0,before_crossing
P2_first,F3_combined,reset,3,26099139.0,True,26099139.0,at_crossing,0.0,0.1429,26099139.0,at_crossing,26099145.0,after_crossing,26099160.0,after_crossing
P2_first,F3_combined,reset,4,26099319.0,True,26099319.0,at_crossing,0.0,0.1429,26099319.0,at_crossing,26099325.0,after_crossing,26099340.0,after_crossing
P2_first,F3_combined,reset,5,26100629.0,True,26100629.0,at_crossing,0.0,0.1667,26100629.0,at_crossing,26100630.0,after_crossing,26100645.0,after_crossing
P2_first,F3_combined,reset,6,26100783.0,True,26100783.0,at_crossing,0.0,0.25,26100783.0,at_crossing,26100795.0,after_crossing,26100810.0,after_crossing
P2_first,F3_combined,reset,7,26102228.0,True,26102228.0,at_crossing,0.0,0.2,26102228.0,at_crossing,26102235.0,after_crossing,26102250.0,after_crossing
P2_first,F3_combined,reset,8,26103801.0,True,26103801.0,at_crossing,0.0,0.2,26103801.0,at_crossing,26103810.0,after_crossing,26103825.0,after_crossing
P2_first,F3_combined,reset,9,26108028.0,True,26107980.0,before_crossing,-48.0,1.0,26107980.0,before_crossing,26107981.0,before_crossing,26107985.0,before_crossing
P2_first,F3_combined,reset,10,26125362.0,True,26125320.0,before_crossing,-42.0,0.8571,26125320.0,before_crossing,26125335.0,before_crossing,26125350.0,before_crossing
P2_first,F4_jump,reset,1,26054738.0,True,26054738.0,at_crossing,0.0,1.0,26054738.0,at_crossing,,none,,none
P2_first,F4_jump,reset,2,26089340.0,True,26089340.0,at_crossing,0.0,0.1667,26089340.0,at_crossing,,none,,none
P2_first,F4_jump,reset,3,26099139.0,True,26099139.0,at_crossing,0.0,0.1429,26099139.0,at_crossing,,none,,none
P2_first,F4_jump,reset,4,26099319.0,True,26099319.0,at_crossing,0.0,0.1429,26099319.0,at_crossing,,none,,none
P2_first,F4_jump,reset,5,26100629.0,True,26100629.0,at_crossing,0.0,0.1667,26100629.0,at_crossing,,none,,none
P2_first,F4_jump,reset,6,26100783.0,True,26100783.0,at_crossing,0.0,0.25,26100783.0,at_crossing,,none,,none
P2_first,F4_jump,reset,7,26102228.0,True,26102228.0,at_crossing,0.0,0.2,26102228.0,at_crossing,,none,,none
P2_first,F4_jump,reset,8,26103801.0,True,26103801.0,at_crossing,0.0,0.2,26103801.0,at_crossing,,none,,none
P2_first,F4_jump,reset,9,26108028.0,True,26108028.0,at_crossing,0.0,0.125,26108028.0,at_crossing,,none,,none
P2_first,F4_jump,reset,10,26125362.0,True,26125362.0,at_crossing,0.0,0.1429,26125362.0,at_crossing,,none,,none
