policy,filter,gap_policy,frozen_thresholds,events_detected,events_total,event_recall,event_recall_ci95,row_tp,row_fp,row_fn,row_precision,row_recall,row_f1,mean_detection_delay_min,fa_episodes_total,fa_rate_per_day,fa_rate_ci95_bootstrap,flagged_samples_per_test_day,monitored_rows_normal_zones,excluded_rows_event_zones,normal_day_blocks
P1_preserve,F1_rate,reset,"{""F1_rate_q999"": 13.4545}",9,10,0.9,"[0.555, 0.9975]",9,4,38,0.6923,0.1915,0.3,0.0,0,0.0,"[0.0, 0.0]",0.0477,18041,108,204
P1_preserve,F1_rate,continue,"{""F1_rate_q999"": 13.4545}",9,10,0.9,"[0.555, 0.9975]",9,4,38,0.6923,0.1915,0.3,0.0,0,0.0,"[0.0, 0.0]",0.0477,18041,108,204
P1_preserve,F2_range,stateless,"{""F2_cal_max"": 47.0}",10,10,1.0,"[0.6915, 1.0]",47,213,0,0.1808,1.0,0.3062,-11.0,53,0.259804,"[0.181373, 0.343137]",0.9543,18041,108,204
P1_preserve,F3_combined,reset,"{""F1_rate_q999"": 13.4545, ""F2_cal_max"": 47.0}",10,10,1.0,"[0.6915, 1.0]",47,216,0,0.1787,1.0,0.3032,-11.0,53,0.259804,"[0.181373, 0.343137]",0.9653,18041,108,204
P1_preserve,F3_combined,continue,"{""F1_rate_q999"": 13.4545, ""F2_cal_max"": 47.0}",10,10,1.0,"[0.6915, 1.0]",47,216,0,0.1787,1.0,0.3032,-11.0,53,0.259804,"[0.181373, 0.343137]",0.9653,18041,108,204
P1_preserve,F4_jump,reset,"{""F4_q999"": 31.101}",10,10,1.0,"[0.6915, 1.0]",10,10,37,0.5,0.2128,0.2985,0.0,0,0.0,"[0.0, 0.0]",0.0734,18041,108,204
P1_preserve,F4_jump,continue,"{""F4_q999"": 31.101}",10,10,1.0,"[0.6915, 1.0]",10,10,37,0.5,0.2128,0.2985,0.0,0,0.0,"[0.0, 0.0]",0.0734,18041,108,204
P2_first,F1_rate,reset,"{""F1_rate_q999"": 24.936}",5,10,0.5,"[0.1871, 0.8129]",5,1,42,0.8333,0.1064,0.1887,23.5,0,0.0,"[0.0, 0.0]",0.022,17624,103,204
P2_first,F1_rate,continue,"{""F1_rate_q999"": 24.936}",5,10,0.5,"[0.1871, 0.8129]",5,1,42,0.8333,0.1064,0.1887,23.5,0,0.0,"[0.0, 0.0]",0.022,17624,103,204
P2_first,F2_range,stateless,"{""F2_cal_max"": 47.0}",10,10,1.0,"[0.6915, 1.0]",47,204,0,0.1873,1.0,0.3154,-11.0,53,0.259804,"[0.181373, 0.343137]",0.9213,17624,103,204
