horizon_min,feature,calibration_q99_threshold,event_windows_flagged_of_10,normal_windows_flagged_frac,n_normal_windows
60.0,last,43.0,5,0.0328,4335
60.0,maximum,44.0,5,0.0358,4335
60.0,mean,42.527,5,0.0353,4335
60.0,slope_per_min,0.6094,0,0.0,4335
60.0,variability,13.0417,0,0.0,4335
60.0,max_gap_min,32.62,0,0.0016,4335
60.0,missing_frac,0.25,0,0.0012,4335
360.0,last,43.0,5,0.0348,4457
360.0,maximum,43.76,8,0.1164,4457
360.0,mean,39.7498,5,0.0621,4457
360.0,slope_per_min,0.4,0,0.0,4457
360.0,variability,14.5616,2,0.0,4457
360.0,max_gap_min,138.0,0,0.0063,4457
360.0,missing_frac,0.3848,0,0.0052,4457
1440.0,last,40.76,7,0.0682,4706
1440.0,maximum,43.0,9,0.3198,4706
1440.0,mean,38.6452,3,0.0104,4706
1440.0,slope_per_min,0.1507,0,0.0004,4706
1440.0,variability,12.4377,4,0.0,4706
1440.0,max_gap_min,1140.0,0,0.0011,4706
1440.0,missing_frac,0.7183,0,0.0011,4706
