flag,start,end,n_samples,duration_minutes,max_intra_event_gap_minutes,continuity_gap_definition_minutes,continuity_gap_minutes
OTI_A,2019-07-03 12:52:00,2019-07-03 16:35:00,44,223.0,14.0,15.0,15.0
OTI_A,2019-07-03 17:05:00,2019-07-03 17:40:00,6,35.0,11.0,15.0,15.0
OTI_A,2019-07-04 11:42:00,2019-07-04 11:46:00,3,4.0,3.0,15.0,15.0
OTI_A,2019-07-16 13:38:00,2019-07-16 14:00:00,3,22.0,15.0,15.0,15.0
OTI_A,2019-08-09 14:20:00,2019-08-09 14:30:00,2,10.0,10.0,15.0,15.0
OTI_A,2019-08-16 09:39:00,2019-08-16 10:15:00,4,36.0,15.0,15.0,15.0
OTI_A,2019-08-16 12:39:00,2019-08-16 14:55:00,11,136.0,15.0,15.0,15.0
OTI_A,2019-08-17 10:29:00,2019-08-17 11:45:00,7,76.0,15.0,15.0,15.0
OTI_A,2019-08-17 13:03:00,2019-08-17 14:00:00,5,57.0,15.0,15.0,15.0
OTI_A,2019-08-18 13:08:00,2019-08-18 13:30:00,3,22.0,15.0,15.0,15.0
OTI_A,2019-08-19 15:21:00,2019-08-19 16:00:00,4,39.0,15.0,15.0,15.0
OTI_A,2019-08-22 13:48:00,2019-08-22 14:30:00,5,42.0,15.0,15.0,15.0
OTI_A,2019-09-03 14:42:00,2019-09-03 15:00:00,3,18.0,15.0,15.0,15.0
OTI_T,2019-07-16 13:38:00,2019-07-16 14:00:00,3,22.0,15.0,15.0,15.0
OTI_T,2019-08-09 14:20:00,2019-08-09 14:30:00,2,10.0,10.0,15.0,15.0
OTI_T,2019-08-16 09:39:00,2019-08-16 10:15:00,4,36.0,15.0,15.0,15.0
OTI_T,2019-08-16 12:39:00,2019-08-16 14:55:00,11,136.0,15.0,15.0,15.0
OTI_T,2019-08-17 10:29:00,2019-08-17 11:45:00,7,76.0,15.0,15.0,15.0
OTI_T,2019-08-17 13:03:00,2019-08-17 14:00:00,5,57.0,15.0,15.0,15.0
OTI_T,2019-08-18 13:08:00,2019-08-18 13:30:00,3,22.0,15.0,15.0,15.0
OTI_T,2019-08-19 15:21:00,2019-08-19 16:00:00,4,39.0,15.0,15.0,15.0
OTI_T,2019-08-22 13:48:00,2019-08-22 14:30:00,5,42.0,15.0,15.0,15.0
OTI_T,2019-09-03 14:42:00,2019-09-03 15:00:00,3,18.0,15.0,15.0,15.0
MOG_A,2019-07-02 17:22:00,2019-07-02 17:22:00,1,0.0,0.0,15.0,15.0
MOG_A,2019-07-05 11:40:00,2019-07-05 11:40:00,1,0.0,0.0,15.0,15.0
MOG_A,2019-07-05 17:16:00,2019-07-05 17:16:00,1,0.0,0.0,15.0,15.0
MOG_A,2019-07-10 00:05:00,2019-07-10 00:05:00,1,0.0,0.0,15.0,15.0
MOG_A,2019-07-13 11:51:00,2019-07-13 11:51:00,1,0.0,0.0,15.0,15.0
MOG_A,2019-07-13 12:28:00,2019-07-13 15:15:00,13,167.0,15.0,15.0,15.0
MOG_A,2019-07-13 15:36:00,2019-07-13 19:15:00,34,219.0,15.0,15.0,15.0
MOG_A,2019-07-13 19:37:00,2019-07-13 23:30:00,19,233.0,15.0,15.0,15.0
MOG_A,2019-07-13 23:46:00,2019-07-14 02:30:00,12,164.0,15.0,15.0,15.0
MOG_A,2019-07-14 10:47:00,2019-07-14 12:00:00,6,73.0,15.0,15.0,15.0
MOG_A,2019-07-14 12:33:00,2019-07-14 18:45:00,27,372.0,15.0,15.0,15.0
MOG_A,2019-07-14 19:08:00,2019-07-15 12:00:00,70,1012.0,15.0,15.0,15.0
MOG_A,2019-07-15 12:16:00,2019-07-15 19:15:00,33,419.0,15.0,15.0,15.0
MOG_A,2019-07-15 19:31:00,2019-07-15 22:51:00,24,200.0,15.0,15.0,15.0
MOG_A,2019-07-15 23:47:00,2019-07-16 03:30:00,21,223.0,15.0,15.0,15.0
MOG_A,2019-07-16 04:08:00,2019-07-16 05:30:00,10,82.0,15.0,15.0,15.0
MOG_A,2019-07-16 05:49:00,2019-07-16 05:49:00,1,0.0,0.0,15.0,15.0
MOG_A,2019-07-16 06:20:00,2019-07-16 07:15:00,5,55.0,15.0,15.0,15.0
MOG_A,2019-07-16 07:54:00,2019-07-16 18:15:00,46,621.0,15.0,15.0,15.0
MOG_A,2019-07-16 19:31:00,2019-07-17 00:30:00,21,299.0,15.0,15.0,15.0
MOG_A,2019-07-17 00:46:00,2019-07-17 08:45:00,33,479.0,15.0,15.0,15.0
MOG_A,2019-07-17 09:46:00,2019-07-17 14:15:00,20,269.0,15.0,15.0,15.0
MOG_A,2019-07-17 14:36:00,2019-07-18 14:15:00,97,1419.0,15.0,15.0,15.0
MOG_A,2019-07-18 16:03:00,2019-07-19 14:00:00,89,1317.0,15.0,15.0,15.0
MOG_A,2019-07-19 14:48:00,2019-07-22 13:00:00,286,4212.0,15.0,15.0,15.0
MOG_A,2019-07-22 13:17:00,2019-07-22 15:45:00,13,148.0,15.0,15.0,15.0
MOG_A,2019-07-22 18:18:00,2019-07-22 19:30:00,6,72.0,15.0,15.0,15.0
MOG_A,2019-07-23 02:34:00,2019-07-23 02:45:00,2,11.0,11.0,15.0,15.0
MOG_A,2019-07-23 03:14:00,2019-07-23 13:15:00,42,601.0,15.0,15.0,15.0
MOG_A,2019-07-23 13:55:00,2019-07-23 18:45:00,24,290.0,15.0,15.0,15.0
MOG_A,2019-07-23 19:15:00,2019-07-23 19:15:00,1,0.0,0.0,15.0,15.0
MOG_A,2019-07-23 19:31:00,2019-07-24 11:00:00,63,929.0,15.0,15.0,15.0
MOG_A,2019-07-24 11:16:00,2019-07-24 13:00:00,10,104.0,15.0,15.0,15.0
MOG_A,2019-07-24 13:17:00,2019-07-24 14:00:00,6,43.0,15.0,15.0,15.0
MOG_A,2019-07-24 14:16:00,2019-07-24 16:00:00,9,104.0,15.0,15.0,15.0
MOG_A,2019-07-24 16:16:00,2019-07-24 18:45:00,12,149.0,15.0,15.0,15.0
MOG_A,2019-07-24 19:01:00,2019-07-24 21:30:00,14,149.0,15.0,15.0,15.0
MOG_A,2019-07-24 21:46:00,2019-07-24 22:00:00,2,14.0,14.0,15.0,15.0
MOG_A,2019-07-24 22:17:00,2019-07-25 07:15:00,40,538.0,15.0,15.0,15.0
MOG_A,2019-07-25 07:31:00,2019-07-25 08:15:00,4,44.0,15.0,15.0,15.0
MOG_A,2019-07-25 08:31:00,2019-07-25 10:30:00,10,119.0,15.0,15.0,15.0
MOG_A,2019-07-25 10:46:00,2019-07-25 11:15:00,3,29.0,15.0,15.0,15.0
MOG_A,2019-07-30 15:54:00,2019-07-31 23:45:00,129,1911.0,15.0,15.0,15.0
MOG_A,2019-08-01 00:15:00,2019-08-02 03:30:00,111,1635.0,15.0,15.0,15.0
MOG_A,2019-08-02 03:53:00,2019-08-02 04:15:00,3,22.0,15.0,15.0,15.0
MOG_A,2019-08-02 04:33:00,2019-08-02 15:01:00,45,628.0,15.0,15.0,15.0
MOG_A,2019-08-02 15:30:00,2019-08-03 06:29:00,61,899.0,15.0,15.0,15.0
MOG_A,2019-08-03 06:45:00,2019-08-03 13:45:00,29,420.0,15.0,15.0,15.0
MOG_A,2019-08-03 14:08:00,2019-08-04 19:30:00,122,1762.0,15.0,15.0,15.0
MOG_A,2019-08-04 19:53:00,2019-08-05 04:15:00,35,502.0,15.0,15.0,15.0
MOG_A,2019-08-05 04:31:00,2019-08-05 16:30:00,49,719.0,15.0,15.0,15.0
MOG_A,2019-08-05 16:55:00,2019-08-05 17:00:00,3,5.0,4.0,15.0,15.0
MOG_A,2019-08-05 17:20:00,2019-08-05 19:30:00,10,130.0,15.0,15.0,15.0
MOG_A,2019-08-05 20:33:00,2019-08-06 14:30:00,74,1077.0,15.0,15.0,15.0
MOG_A,2019-08-06 15:10:00,2019-08-06 15:30:00,3,20.0,15.0,15.0,15.0
MOG_A,2019-08-07 15:54:00,2019-08-07 18:44:00,13,170.0,15.0,15.0,15.0
MOG_A,2019-08-07 19:00:00,2019-08-07 19:45:00,4,45.0,15.0,15.0,15.0
MOG_A,2019-08-07 20:08:00,2019-08-07 22:30:00,11,142.0,15.0,15.0,15.0
MOG_A,2019-08-07 22:53:00,2019-08-08 10:45:00,49,712.0,15.0,15.0,15.0
MOG_A,2019-08-08 11:08:00,2019-08-09 09:30:00,92,1342.0,15.0,15.0,15.0
MOG_A,2019-08-09 10:00:00,2019-08-09 15:45:00,26,345.0,15.0,15.0,15.0
MOG_A,2019-08-09 16:04:00,2019-08-09 16:45:00,4,41.0,15.0,15.0,15.0
MOG_A,2019-08-09 17:14:00,2019-08-09 17:14:00,1,0.0,0.0,15.0,15.0
MOG_A,2019-08-09 17:30:00,2019-08-10 03:45:00,42,615.0,15.0,15.0,15.0
MOG_A,2019-08-10 04:12:00,2019-08-10 04:30:00,3,18.0,15.0,15.0,15.0
MOG_A,2019-08-10 05:16:00,2019-08-10 05:45:00,3,29.0,15.0,15.0,15.0
MOG_A,2019-08-10 06:01:00,2019-08-10 09:00:00,13,179.0,15.0,15.0,15.0
MOG_A,2019-08-10 09:23:00,2019-08-10 13:45:00,19,262.0,15.0,15.0,15.0
WTI,2020-01-17 21:30:00,2020-01-17 21:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-17 22:15:00,2020-01-17 22:30:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-17 23:15:00,2020-01-17 23:45:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-18 02:30:00,2020-01-18 02:30:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-18 03:00:00,2020-01-18 03:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-18 03:30:00,2020-01-18 03:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-18 04:15:00,2020-01-18 04:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-18 04:45:00,2020-01-18 05:00:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-18 05:30:00,2020-01-18 05:30:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-18 06:00:00,2020-01-18 06:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-18 06:30:00,2020-01-18 07:15:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-18 07:45:00,2020-01-18 07:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-18 21:15:00,2020-01-18 21:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-18 22:30:00,2020-01-18 22:30:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-18 23:15:00,2020-01-19 00:00:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-19 01:15:00,2020-01-19 01:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-19 03:15:00,2020-01-19 04:00:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-19 04:30:00,2020-01-19 04:30:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-19 05:45:00,2020-01-19 05:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-19 06:15:00,2020-01-19 07:45:00,7,90.0,15.0,15.0,15.0
WTI,2020-01-19 08:30:00,2020-01-19 08:30:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-19 18:00:00,2020-01-19 18:30:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-19 19:00:00,2020-01-19 19:15:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-19 19:45:00,2020-01-19 19:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-19 20:30:00,2020-01-19 20:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-19 21:15:00,2020-01-19 21:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-19 21:45:00,2020-01-19 22:30:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-19 23:00:00,2020-01-20 00:00:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-20 00:30:00,2020-01-20 02:30:00,9,120.0,15.0,15.0,15.0
WTI,2020-01-20 03:00:00,2020-01-20 04:00:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-20 04:30:00,2020-01-20 04:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-20 05:15:00,2020-01-20 06:15:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-20 06:45:00,2020-01-20 06:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-20 07:15:00,2020-01-20 08:30:00,6,75.0,15.0,15.0,15.0
WTI,2020-01-20 09:00:00,2020-01-20 10:00:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-20 10:30:00,2020-01-20 11:30:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-20 19:00:00,2020-01-20 19:15:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-20 19:45:00,2020-01-20 20:00:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-20 20:45:00,2020-01-20 21:15:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-20 21:45:00,2020-01-20 21:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-20 22:15:00,2020-01-20 22:30:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-20 23:15:00,2020-01-20 23:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-20 23:45:00,2020-01-20 23:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-21 00:15:00,2020-01-21 00:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-21 00:45:00,2020-01-21 02:30:00,8,105.0,15.0,15.0,15.0
WTI,2020-01-21 03:00:00,2020-01-21 03:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-21 03:30:00,2020-01-21 04:00:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-21 04:30:00,2020-01-21 04:30:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-21 05:00:00,2020-01-21 05:30:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-21 06:15:00,2020-01-21 06:30:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-21 07:00:00,2020-01-21 07:00:00,1,0.0,0.0,15.0,15.0
